Fruta,Cantidad_kefir,Azucar_%,Acidez_pH,Fibra_g,Tecnica_recomendada
Feijoa,4.07,14.29,4.86,2.05,Osmosis inversa parcial
Guanábana,1.91,19.54,3.15,0.79,Prensado mecánico
Carambola,4.69,16.11,4.61,3.19,Licuado con agua
Copoazú,1.9,12.72,4.47,2.86,Fermentación previa
Durazno,7.65,12.33,3.9,3.31,Microondas controlado
Zapote,4.17,15.42,4.77,3.1,Homogeneización mecánica
Lulo,9.97,9.3,3.45,1.68,Extracción térmica
Lulo,7.01,17.12,4.47,2.49,Homogeneización mecánica
Mora,2.16,18.67,4.44,1.39,Evaporación controlada
Cereza,4.38,12.56,3.51,3.73,Extracción térmica
Coco,1.66,12.6,4.74,1.57,Decocción corta
Cacao,4.29,17.03,4.75,2.87,Liofilización parcial
Melón,7.24,16.66,3.45,1.46,Lixiviación
Limón,2.05,6.85,3.24,1.82,Prensado hidráulico
Arándano,9.53,10.1,4.51,0.52,Vapor indirecto
Borojó,0.72,9.45,4.28,1.35,Microfiltración
Tamarindo,0.57,7.0,4.92,1.93,Decocción corta
Níspero,7.88,16.71,3.68,2.52,Prensado hidráulico
Toronja,7.75,7.25,4.25,3.76,Agitación constante
Kiwi,2.33,17.49,3.27,3.15,Fermentación previa
Chirimoya,1.33,7.84,3.83,0.64,Extracción térmica
Lulo,5.1,6.18,4.53,3.13,Microondas controlado
Marolo,3.52,11.95,4.5,1.31,Maceración alcohólica leve
Coco,3.74,7.84,3.24,2.82,Prensado mecánico
Frambuesa,1.44,7.23,3.79,1.58,Fermentación previa
Frambuesa,2.42,16.32,3.34,1.33,Fermentación previa
Zapote,5.79,18.42,4.32,3.3,Homogeneización mecánica
Limón,0.81,11.14,4.61,1.98,Lixiviación
Zapote,7.49,11.86,3.47,1.19,Maceración lenta
Aguacate,5.12,12.96,3.23,1.62,Maceración rápida
Guayabo,1.91,15.15,4.55,3.33,Decocción corta
Caqui,6.98,6.91,3.25,3.46,Maceración lenta
Arazá,9.2,16.29,3.54,1.71,Prensado hidráulico
Aguacate,8.25,6.91,4.53,1.97,Agitación constante
Borojó,4.86,9.01,3.54,0.93,Prensado hidráulico
Toronja,7.65,16.5,3.93,3.62,Homogeneización mecánica
Granadilla,1.82,11.37,4.08,2.22,Centrifugación
Pomelo,6.12,8.88,3.73,2.95,Prensado hidráulico
Fresa,8.88,10.62,4.62,2.24,Vapor indirecto
Piña,1.95,13.08,3.58,0.99,Fermentación previa
Sandía,5.55,11.47,3.09,3.71,Extracción térmica
Limón,7.06,17.17,3.18,1.61,Maceración rápida
Camu camu,4.81,10.58,4.67,2.03,Extracción térmica
Zapote,2.74,15.03,3.65,1.66,Extracción térmica
Piña,1.38,7.69,3.8,1.87,Licuado con agua
Zapote,2.46,15.03,3.72,3.95,Maceración rápida
Zapote,1.71,7.3,3.13,3.42,Lixiviación
Mandarina,2.84,16.47,4.23,1.63,Liofilización parcial
Níspero,2.3,7.65,4.0,1.58,Vapor indirecto
Granadilla,2.11,11.15,3.89,3.4,Difusión térmica
Limón,7.28,18.64,3.97,0.74,Deshidratación solar
Sandía,0.77,8.31,3.14,1.79,Maceración lenta
Limón,8.18,18.15,3.3,1.54,Prensado hidráulico
Granadilla,4.15,11.1,3.08,1.11,Prensado hidráulico
Naranja,3.28,14.84,3.35,0.69,Prensado hidráulico
Naranja,5.43,17.44,4.41,1.25,Homogeneización mecánica
Durazno,7.5,16.4,4.89,1.62,Congelación-descongelación
Fresa,7.33,14.2,4.62,1.04,Agitación constante
Limón,7.15,19.87,4.67,0.8,Evaporación controlada
Uva,3.63,15.21,3.65,3.36,Difusión osmótica
Borojó,5.47,7.8,3.02,2.72,Prensado mecánico
Arándano,8.46,8.9,3.92,2.76,Vapor indirecto
Marolo,6.1,11.63,4.21,2.75,Vibración ultrasónica
Marolo,2.03,7.04,3.7,1.63,Extracción térmica
Feijoa,9.4,15.56,4.27,1.7,Evaporación controlada
Aguacate,3.43,14.26,3.35,3.09,Maceración rápida
Anón,9.63,18.13,4.13,2.74,Decantación natural
Mango,7.72,17.24,3.21,2.15,Centrifugación
Fresa,6.59,12.25,4.45,3.66,Osmosis inversa parcial
Zapote,2.52,7.37,3.76,0.73,Difusión osmótica
Caqui,7.08,18.74,4.41,1.67,Filtrado con gas CO₂
Cacao,6.28,17.77,3.99,3.74,Evaporación controlada
Lulo,9.81,7.28,4.57,1.37,Vapor indirecto
Papayuela,6.54,13.5,4.29,0.89,Difusión térmica
Níspero,6.55,14.75,3.44,3.19,Maceración lenta
Guanábana,6.71,14.21,5.0,0.78,Agitación constante
Papaya,7.93,8.08,3.48,2.36,Prensado mecánico
Caimito,9.16,18.96,3.62,1.45,Prensado en frío
Anón,7.13,7.79,4.98,1.32,Microondas controlado
Mandarina,2.76,11.08,4.07,2.66,Difusión térmica
Arazá,2.06,12.62,3.34,2.88,Prensado mecánico
Copoazú,8.55,12.44,4.55,3.29,Difusión térmica
Guayabo,2.46,15.16,4.31,2.74,Licuado con agua
Zapote,3.29,12.64,4.56,3.08,Agitación constante
Aguacate,4.17,7.46,3.33,0.64,Fermentación previa
Pitahaya,8.94,6.42,4.26,1.81,Vapor indirecto
Copoazú,5.16,7.64,4.69,3.45,Maceración alcohólica leve
Pera,5.21,13.11,3.71,1.51,Prensado en frío
Sandía,3.6,11.06,4.52,1.41,Difusión osmótica
Guanábana,1.69,8.15,3.69,3.69,Maceración rápida
Mandarino,9.46,11.63,3.09,3.52,Extracción térmica
Granadilla,1.64,7.81,3.26,3.03,Maceración rápida
Cereza,2.95,14.79,3.02,2.02,Centrifugación
Borojó,7.51,11.85,4.31,3.56,Maceración alcohólica leve
Papayuela,2.06,12.26,3.03,3.04,Difusión osmótica
Borojó,2.06,10.63,3.21,2.47,Prensado hidráulico
Durazno,5.56,6.71,3.26,1.62,Prensado en frío
Durazno,5.86,9.43,3.65,1.54,Prensado mecánico
Mango,1.62,8.57,4.44,1.14,Reposo fermentativo previo
Toronja,3.3,8.84,4.79,0.77,Vibración ultrasónica
Limón,1.72,6.92,4.7,2.51,Filtrado con gas CO₂
Sandía,6.02,15.67,4.07,2.61,Decocción corta
Sandía,7.36,17.39,3.18,3.09,Prensado hidráulico
Camu camu,3.35,9.09,4.61,1.98,Vapor indirecto
Cacao,5.39,11.92,3.99,3.33,Fermentación espontánea
Plátano,7.16,13.38,4.8,1.7,Difusión lenta
Durazno,8.23,13.43,4.4,2.13,Reposo fermentativo previo
Plátano,0.87,6.54,3.48,3.47,Prensado mecánico
Pitahaya,9.15,17.07,3.49,1.21,Fermentación previa
Tamarindo,7.8,14.83,4.34,1.45,Reposo fermentativo previo
Higo,1.38,16.66,4.39,1.55,Congelación-descongelación
Guayabo,1.38,11.24,3.3,2.72,Prensado en frío
Frambuesa,7.3,11.13,3.19,0.94,Extracción térmica
Guanábana,1.51,7.28,4.22,2.2,Difusión térmica
Coco,7.54,13.84,3.63,2.61,Fermentación previa
Lulo,2.4,6.04,3.81,0.55,Lixiviación
Caqui,1.17,6.16,4.12,2.88,Deshidratación solar
Arándano,5.91,6.9,3.41,1.56,Prensado mecánico
Camu camu,5.07,6.63,4.96,1.85,Vibración ultrasónica
Arándano,0.91,12.03,3.66,2.34,Fermentación previa
Guayabo,7.97,13.18,4.21,3.16,Difusión lenta
Higo,5.52,18.64,4.35,0.6,Decocción corta
Mandarina,3.47,7.12,4.16,0.9,Prensado en frío
Piña,7.65,9.57,4.87,2.44,Fermentación espontánea
Toronja,7.36,16.11,4.03,1.52,Licuado con agua
Banano,8.27,7.41,3.77,2.3,Centrifugación
Marolo,4.38,19.91,3.18,1.17,Difusión osmótica
Papaya,4.55,6.33,3.8,2.46,Deshidratación solar
Guayabo,9.95,12.42,3.35,0.75,Centrifugación
Pomelo,5.43,7.73,3.26,1.54,Maceración lenta
Tamarindo,8.52,18.61,4.9,3.79,Licuado con agua
Níspero,2.04,7.86,3.11,0.72,Lixiviación
Piña,3.43,14.83,3.76,0.79,Fermentación previa
Tamarindo,6.69,8.46,4.95,2.41,Difusión lenta
Limón,7.34,8.63,3.78,1.26,Difusión osmótica
Mandarino,9.94,10.78,3.35,1.49,Lixiviación
Marolo,9.68,17.82,3.48,0.99,Prensado hidráulico
Mango,1.52,11.29,4.02,3.36,Congelación-descongelación
Caqui,9.05,15.7,4.07,1.11,Decocción corta
Níspero,4.55,15.37,3.51,1.88,Prensado en frío
Marolo,4.06,12.5,4.2,3.57,Difusión térmica
Piña,3.34,12.94,3.26,3.28,Prensado mecánico
Níspero,8.0,9.58,4.74,3.51,Fermentación espontánea
Tamarindo,2.09,12.76,4.58,0.97,Prensado mecánico
Durazno,2.91,14.16,4.58,0.65,Maceración lenta
Camu camu,9.01,19.72,3.05,3.07,Centrifugación
Feijoa,8.13,10.36,3.72,0.63,Prensado mecánico
Copoazú,5.31,18.05,4.07,1.12,Decantación natural
Ciruela,7.86,15.82,3.97,3.46,Evaporación controlada
Mandarino,8.71,18.04,3.18,1.03,Prensado en frío
Feijoa,8.09,9.24,4.81,3.8,Difusión lenta
Cacao,6.16,10.77,4.24,0.6,Reposo fermentativo previo
Marolo,1.66,10.1,4.61,2.98,Liofilización parcial
Guayaba,2.88,10.52,4.38,1.77,Congelación-descongelación
Piña,6.71,18.75,3.92,2.48,Decocción corta
Coco,8.8,7.75,3.73,0.55,Centrifugación
Mango,5.59,14.12,3.05,2.83,Maceración rápida
Pomelo,5.69,10.43,3.41,1.67,Lixiviación
Sandía,8.05,13.15,3.14,1.65,Difusión osmótica
Mora,5.79,18.87,4.98,3.13,Homogeneización mecánica
Sandía,4.06,13.6,3.55,0.84,Maceración rápida
Caimito,6.94,8.49,3.54,1.04,Fermentación previa
Aguacate,6.65,19.2,3.86,2.33,Licuado con agua
Banano,2.86,7.51,3.01,2.55,Prensado mecánico
Papayuela,7.07,18.4,3.78,2.52,Centrifugación
Cereza,5.77,13.26,3.72,2.23,Extracción térmica
Papayuela,5.79,16.97,4.29,1.53,Liofilización parcial
Copoazú,1.93,7.13,3.65,1.87,Difusión osmótica
Guayaba,1.1,6.21,4.26,0.67,Fermentación espontánea
Guanábana,5.71,10.42,3.97,0.66,Fermentación espontánea
Camu camu,8.32,17.76,4.65,0.81,Deshidratación solar
