Tecnica_recomendada,Descripcion,Tiempo_estimado,Temperatura_optima,Herramientas,Pasos,Rendimiento_esperado,Recomendaciones_finales
Maceración lenta,"Proceso pasivo que permite la disolución natural de azúcares y compuestos volátiles sin calor, conservando aromas delicados.",10-12 horas,24–26 °C,"Frascos de vidrio, espátula de silicona, colador de acero fino.",1. Cortar la fruta en trozos medianos. 2. Mezclar con agua y granos de kéfir. 3. Tapar y dejar reposar en lugar oscuro. 4. Filtrar y refrigerar.,"Alta conservación de compuestos aromáticos, acidez equilibrada.",Remover cada 2 horas para evitar fermentación prematura.
Maceración rápida,Se acelera la disolución de azúcares mediante agitación suave y control de temperatura.,3-4 horas,30–32 °C,"Agitador manual o magnético, frascos herméticos.",1. Trocear la fruta. 2. Agregar agua y mantener agitación constante. 3. Filtrar al final del proceso.,"Buena extracción de azúcares, ligera pérdida aromática.",Controlar la temperatura para evitar inicio de fermentación no deseada.
Prensado en frío,Técnica mecánica que extrae el jugo sin calor para conservar compuestos volátiles y enzimas activas.,20-30 minutos,18–25 °C,Prensa hidráulica o extractor de baja velocidad (<50 rpm).,1. Lavar y trocear la fruta. 2. Aplicar presión gradual. 3. Recolectar el jugo. 4. Filtrar para retirar sólidos.,"Excelente pureza, alto contenido de azúcares reductores.",No aplicar fuerza excesiva para evitar liberación de compuestos amargos.
Prensado mecánico,Método manual o automatizado de extracción directa mediante fuerza de compresión mecánica.,15-25 minutos,Ambiente (22–26 °C),"Prensa manual, filtros de tela, bandeja de recolección.",1. Introducir la fruta triturada. 2. Aplicar presión progresiva. 3. Recoger el líquido exudado.,"Rendimiento medio, buena claridad de jugo.",Filtrar inmediatamente después del prensado.
Extracción térmica,Uso de calor moderado para romper paredes celulares y liberar azúcares naturales.,45-60 minutos,60–70 °C,"Baño maría, termómetro, filtro de tela.",1. Calentar fruta troceada en baño maría. 2. Mantener temperatura constante. 3. Filtrar y enfriar antes de fermentar.,"Alta liberación de azúcares, ligera pérdida de aroma.",Evitar temperaturas superiores a 70 °C para conservar compuestos sensibles.
Difusión osmótica,Intercambio controlado entre pulpa y solución acuosa para disolver azúcares sin romper tejidos.,3-5 horas,35–40 °C,"Baño térmico, agitador suave, termómetro.",1. Trocear fruta. 2. Sumergir en agua isotónica. 3. Agitar ocasionalmente. 4. Filtrar al finalizar.,Alta extracción con mínima oxidación.,Ideal para frutas con alto contenido de fibra y baja acidez.
Fermentación previa,Pre-fermentación controlada que libera azúcares complejos y genera compuestos probióticos.,48-72 horas,25–28 °C,"Frascos con válvula de escape, termómetro, espátula.",1. Triturar fruta. 2. Fermentar 24 h. 3. Agregar kéfir y continuar fermentación 48 h. 4. Filtrar y refrigerar.,"Sabor complejo, buena carga microbiana.",Mantener el pH entre 3.5–4.2 durante todo el proceso.
Fermentación espontánea,Fermentación natural utilizando los microorganismos presentes en la fruta y el ambiente.,72-96 horas,22–26 °C,"Frascos de boca ancha, gasómetro o válvula de escape.",1. Colocar fruta triturada en frasco. 2. Añadir agua. 3. Cubrir con tela para evitar contaminación. 4. Esperar fermentación natural.,Sabor rústico y fuerte; concentración variable de azúcares.,"Usar sólo para pruebas experimentales, no en producción comercial."
Centrifugación,"Separación de líquidos y sólidos mediante fuerza centrífuga, ideal para purificar extractos.",10-15 minutos,Ambiente,"Centrífuga de laboratorio (4000 rpm), tubos estériles.",1. Colocar la pulpa. 2. Centrifugar 15 min. 3. Usar la fracción líquida.,Alta pureza y estabilidad.,Evitar sobrellenar los tubos.
Evaporación controlada,Reducción del volumen del jugo para concentrar azúcares sin caramelización.,2-3 horas,50–55 °C,Evaporador rotatorio o cámara ventilada.,1. Calentar suavemente el jugo. 2. Reducir volumen 30-40%. 3. Enfriar y rehidratar.,Concentrado con mayor dulzura y densidad.,Evitar temperaturas superiores a 60 °C.
